zip,city,county,population
17222,Fayetteville,Franklin,10717
19611,Reading,Berks,10707
17584,Willow Street,Lancaster,10669
17702,Williamsport,Lycoming,10568
15207,Pittsburgh,Allegheny,10522
17844,Mifflinburg,Union,10504
18447,Olyphant,Lackawanna,10503
15211,Pittsburgh,Allegheny,10457
15906,Johnstown,Cambria,10364
15129,South Park,Allegheny,10363
16866,Philipsburg,Centre,10362
18071,Palmerton,Carbon,10362
17113,Harrisburg,Dauphin,10309
16214,Clarion,Clarion,10276
15037,Elizabeth,Allegheny,10239
15137,North Versailles,Allegheny,10215
17866,Coal Township,Northumberland,10190
18929,Jamison,Bucks,10136
16901,Wellsboro,Tioga,10136
15963,Windber,Somerset,10103
19081,Swarthmore,Delaware,10075
16441,Waterford,Erie,10069
19609,Reading,Berks,10066
19317,Chadds Ford,Delaware,10043
16412,Edinboro,Erie,10041
15084,Tarentum,Allegheny,10034
19072,Narberth,Montgomery,10008
15717,Blairsville,Indiana,10003
18222,Drums,Luzerne,9926
15656,Leechburg,Armstrong,9717
19021,Croydon,Bucks,9714
15022,Charleroi,Washington,9692
18058,Kunkletown,Monroe,9615
15367,Venetia,Washington,9559
19311,Avondale,Chester,9541
16507,Erie,Erie,9512
16415,Fairview,Erie,9492
18032,Catasauqua,Lehigh,9422
17872,Shamokin,Northumberland,9413
18034,Center Valley,Lehigh,9396
15931,Ebensburg,Cambria,9257
18324,Bushkill,Pike,9249
19004,Bala Cynwyd,Montgomery,9246
15825,Brookville,Jefferson,9229
15005,Baden,Beaver,9191
17020,Duncannon,Perry,9122
17963,Pine Grove,Schuylkill,9073
19079,Sharon Hill,Delaware,9068
18229,Jim Thorpe,Carbon,9038
18651,Plymouth,Luzerne,8987
19085,Villanova,Delaware,8981
15690,Vandergrift,Westmoreland,8977
19510,Blandon,Berks,8949
15658,Ligonier,Westmoreland,8936
15208,Pittsburgh,Allegheny,8916
17842,Middleburg,Snyder,8817
19565,Wernersville,Berks,8789
17363,Stewartstown,York,8772
17931,Frackville,Schuylkill,8728
18848,Towanda,Bradford,8703
19137,Philadelphia,Philadelphia,8652
18330,Effort,Monroe,8635
15332,Finleyville,Washington,8616
18069,Orefield,Lehigh,8600
15024,Cheswick,Allegheny,8555
17038,Jonestown,Lebanon,8553
15104,Braddock,Allegheny,8492
15417,Brownsville,Fayette,8398
17316,East Berlin,Adams,8391
19533,Leesport,Berks,8378
19033,Folsom,Delaware,8360
18088,Walnutport,Northampton,8342
17327,Glen Rock,York,8318
15632,Export,Westmoreland,8316
16059,Valencia,Butler,8278
18801,Montrose,Susquehanna,8254
15537,Everett,Bedford,8194
15074,Rochester,Beaver,8190
19560,Temple,Berks,8170
16417,Girard,Erie,8141
17236,Mercersburg,Franklin,8084
17547,Marietta,Lancaster,8068
18708,Shavertown,Luzerne,8056
18078,Schnecksville,Lehigh,8050
16055,Sarver,Butler,8036
15131,Mc Keesport,Allegheny,7960
17320,Fairfield,Adams,7956
15042,Freedom,Beaver,7951
17032,Halifax,Dauphin,7930
18518,Old Forge,Lackawanna,7909
15204,Pittsburgh,Allegheny,7905
17059,Mifflintown,Juniata,7889
17555,Narvon,Lancaster,7760
17345,Manchester,York,7737
18644,Wyoming,Luzerne,7715
16226,Ford City,Armstrong,7695
15683,Scottdale,Westmoreland,7680
17578,Stevens,Lancaster,7667
17851,Mount Carmel,Northumberland,7623
19075,Oreland,Montgomery,7600
16438,Union City,Erie,7588
18037,Coplay,Lehigh,7577
16870,Port Matilda,Centre,7576
19343,Glenmoore,Chester,7553
17102,Harrisburg,Dauphin,7531
19095,Wyncote,Montgomery,7515
18210,Albrightsville,Carbon,7504
19365,Parkesburg,Chester,7496
15085,Trafford,Westmoreland,7479
18328,Dingmans Ferry,Pike,7466
17538,Landisville,Lancaster,7311
15062,Monessen,Westmoreland,7287
17857,Northumberland,Northumberland,7281
16403,Cambridge Springs,Crawford,7278
17751,Mill Hall,Clinton,7267
17349,New Freedom,York,7261
16063,Zelienople,Butler,7248
17074,Newport,Perry,7220
15748,Homer City,Indiana,7216
17554,Mountville,Lancaster,7214
17921,Ashland,Schuylkill,7208
18472,Waymart,Wayne,7203
17061,Millersburg,Dauphin,7190
17777,Watsontown,Northumberland,7163
15021,Burgettstown,Washington,7093
17360,Seven Valleys,York,7072
19506,Bernville,Berks,7034
18641,Pittston,Luzerne,7010
15145,Turtle Creek,Allegheny,6982
19333,Devon,Chester,6893
18106,Allentown,Lehigh,6890
17519,East Earl,Lancaster,6859
18925,Furlong,Bucks,6825
15126,Imperial,Allegheny,6805
17976,Shenandoah,Schuylkill,6787
18403,Archbald,Lackawanna,6768
17339,Lewisberry,York,6766
16150,Sharpsville,Mercer,6760
19012,Cheltenham,Montgomery,6749
19301,Paoli,Chester,6689
19032,Folcroft,Delaware,6629
19070,Morton,Delaware,6625
17737,Hughesville,Lycoming,6596
17347,Mount Wolf,York,6577
19076,Prospect Park,Delaware,6559
19025,Dresher,Montgomery,6545
17361,Shrewsbury,York,6544
15139,Oakmont,Allegheny,6504
15223,Pittsburgh,Allegheny,6493
15851,Reynoldsville,Jefferson,6478
15089,West Newton,Westmoreland,6476
15946,Portage,Cambria,6471
16401,Albion,Erie,6431
18072,Pen Argyl,Northampton,6429
16033,Evans City,Butler,6425
17569,Reinholds,Lancaster,6422
15853,Ridgway,Elk,6379
16933,Mansfield,Tioga,6374
16841,Howard,Centre,6366
18947,Pipersville,Bucks,6356
16142,New Wilmington,Lawrence,6349
17579,Strasburg,Lancaster,6320
19041,Haverford,Delaware,6277
18621,Hunlock Creek,Luzerne,6261
17307,Biglerville,Adams,6259
17368,Wrightsville,York,6198
17322,Felton,York,6191
15133,Mc Keesport,Allegheny,6173
18091,Wind Gap,Northampton,6155
18066,New Tripoli,Lehigh,6143
18433,Jermyn,Lackawanna,6128
18224,Freeland,Luzerne,6113
19034,Fort Washington,Montgomery,6107
17961,Orwigsburg,Schuylkill,6102
16915,Coudersport,Potter,6099
17314,Delta,York,6085
18847,Susquehanna,Susquehanna,6011
17073,Newmanstown,Lebanon,6000
17366,Windsor,York,5974
16662,Martinsburg,Blair,5967
19074,Norwood,Delaware,5957
15627,Derry,Westmoreland,5955
